Pk,Pos,Ht,Wt
brogdma01,G,6-4,229
brookaa01,G,6-0,161
brookar01,G,6-3,195
brookdi01,F-G,6-6,225
brookke01,F,6-6,200
brookma01,G-F,6-5,200
brooksc01,G,5-11,165
brownan01,F,6-9,245
brownan02,F-G,6-7,210
brownbo02,G,6-2,175
brownbr01,G-F,6-4,202
brownch02,G,6-6,199
brownch05,G-F,6-5,215
brownch01,F,6-7,214
brownda02,F,6-9,200
brownde01,G,6-1,160
brownde03,G,6-0,185
brownde04,F,6-7,225
brownde02,G,6-5,220
browner01,C,7-0,244
brownge02,G,6-4,210
browngr01,F,6-7,205
brownja01,G,6-4,215
brownja02,F-G,6-6,223
brownke01,G,6-7,222
brownke03,G-F,6-8,205
brownko01,G-F,6-7,250
brownkw01,F,6-11,270
brownlo01,G,6-5,189
brownma01,G,6-3,185
brownma02,G,6-3,190
brownmi01,C-F,6-9,257
brownmo01,C,7-2,245
brownmy01,G,6-3,180
brownpj01,F-C,6-11,225
brownra02,G,6-2,190
brownra01,F,6-8,220
brownsh01,G,6-4,205
brownst02,G,6-5,219
brownti01,G,6-2,189
brownto01,F-G,6-6,185
browntr01,G-F,6-6,215
brundst01,F,6-6,210
brunsja01,G,6-2,190
brunsri01,G,6-4,190
brussni01,G-F,6-7,195
bryanel01,G,6-5,210
bryanko01,G-F,6-6,212
bryanma01,F-C,6-9,245
bryanth01,C,6-10,248
brynto01,C,6-9,250
buchash01,G,6-3,190
bucknst01,G,6-6,215
buckngr01,G,6-4,210
budinch01,F,6-7,209
buechju01,F-G,6-6,220
bufkiko01,G,6-4,195
buforro01,G-F,6-5,189
bullama01,F,6-10,215
bullore01,G-F,6-6,205
burkepa01,C-F,6-11,250
burketr01,G,6-0,185
burksal01,G,6-6,214
burksan01,G,6-1,200
burleke01,G,6-3,205
burnsev01,F,6-8,260
burresc01,G-F,6-7,218
burroju01,F,6-8,242
burtode02,G,6-4,240
burtowi01,F-G,6-8,210
burttst01,G,6-2,185
butleca01,F,6-7,228
butlegr01,C,6-11,240
butleja01,F-C,6-10,250
butleja02,G,6-3,195
butleji01,F-G,6-7,230
butlejo01,C,7-0,175
butlemi02,G-F,6-5,210
butlera01,F-G,6-7,215
buyckdw01,G,6-3,190
byarsde01,F,6-7,220
bynuman01,C,7-0,285
bynumwi01,G,6-0,185
cabarza01,F,6-11,235
cabocbr01,F-C,6-9,218
cacokde01,F,6-7,240
caffeja01,F,6-8,255
cagemi01,F-C,6-9,224
cainja01,F,6-7,191
calatni01,G,6-6,213
caldejo01,G,6-3,200
caldwad01,F-C,6-8,265
caldwke01,G,6-5,204
calipde01,G,6-1,165
callori01,F,6-6,180
camarto01,F,6-8,220
cambrde01,F,6-7,224
cambyma01,C-F,6-11,220
campafa01,G,5-10,195
campbel01,C,6-11,215
campbto01,F-G,6-7,215
canaais01,G,6-0,201
cancavl01,F,6-8,236
cannade01,G,6-2,183
capelca01,C,6-10,240
caracde01,F,6-9,275
cardibr01,F,6-8,245
careyve01,C,6-9,270
carlige01,G,6-3,180
carliri01,G,6-5,210
carnero01,F,6-7,205
carran01,F-C,6-9,225
carrch01,G,6-5,207
carrco01,G,6-3,210
carrode01,F,6-6,215
carrojo01,C-F,7-0,225
carroma01,G,6-6,212
carruji01,C-F,6-10,265
cartean01,G,6-1,190
carteje01,G,6-1,200
cartema01,G,6-5,210
cartevi01,G-F,6-6,220
cartewe01,C,6-10,270
cartemi01,G,6-5,190
cartodj01,G,6-2,200
cartwbi01,C,7-1,245
carusal01,G,6-5,186
cassesa01,G,6-3,185
casspom01,F,6-9,225
castlco01,F,6-11,250
catlete01,F,6-8,220
catoke01,C,6-11,255
caulewi01,F-C,7-0,240
caupatr01,G,6-4,210
causwdu01,C,7-0,240
cavanty01,F,6-9,238
caverah01,G,6-2,175
cazalma01,G,6-6,212
cebalce01,F,6-7,220
celesjo01,G,6-4,178
chalmli01,G,6-0,180
chalmma01,G,6-2,190
chambto01,F-C,6-10,220
champju02,F,6-8,220
champju01,F,6-6,200
chandke01,G,6-0,171
chandty01,C,7-0,235
chandwi01,F,6-8,235
chapmre01,G,6-4,185
chealjo01,G,6-3,190
cheanca01,G-F,6-7,209
cheatzy01,F,6-5,220
cheekma01,G,6-1,180
cherrwi01,G,6-0,185
chievde01,F,6-7,195
chilcpe01,F-C,6-10,230
childjo01,G-F,6-8,210
childra01,G,6-2,188
childch01,G,6-3,195
chiozch01,G,5-11,175
chrisma01,F,6-9,240
chrisdo01,G-F,6-6,200
chrisma02,G,6-6,190
chrisdi01,G,6-5,205
chrisra01,F,6-9,250
chrisse01,G,6-3,190
chrisjo01,G,6-5,215
chrispa01,G-F,6-5,209
churcro01,G-F,6-6,195
cissosi01,G,6-8,200
clarkea01,F,6-10,225
clarkga01,F,6-6,225
clarkia01,G,6-3,175
clarkke01,F-C,6-11,220
clarkbr01,F,6-8,215
clarkco01,F,6-7,232
clarkjo01,G,6-3,194
clavegi01,G,6-4,185
clavevi01,F,6-9,224
claxtch01,C,7-0,265
claxtni01,C,6-11,215
claxtsp01,G,5-11,166
cleavma01,G,6-2,205
clemoch01,G,5-9,180
clevean01,G,6-5,195
closske01,C,7-3,212
clownno01,F,6-10,210
coffeam01,G,6-7,210
cofferi01,F,6-6,212
cokerjo01,C,7-0,253
coleno01,G,6-2,175
colembe01,F,6-9,235
colemde01,F-C,6-10,230
colesbi01,G,6-1,180
collija02,C,7-0,260
collija01,G,6-4,196
collija03,F-C,6-11,255
collija04,C,7-0,255
collijo01,F,6-9,235
collima01,G,6-6,220
collish01,G,5-11,205
colliza01,C-F,6-11,250
colliky01,G-F,6-6,210
collida01,G,6-0,175
collini01,F,6-10,255
colsobo01,F,6-6,224
colsose01,G,6-0,175
coltest01,G,6-3,165
comanch01,F-C,6-10,210
conlemi01,G,6-0,175
conloma01,F-C,6-10,224
connapa01,G,6-5,209
connele01,G,6-4,180
conrowi01,G,6-2,195
cookan01,F-C,6-9,205
cookbr01,F,6-9,234
cookda02,G,6-5,205
cookom01,G,6-1,190
cookqu01,G,6-1,180
cookty01,F,6-8,255
cookech01,G,6-5,196
cooksxa01,F,6-8,183
cooleja01,F-C,6-9,260
coopedu01,G,6-1,185
coopemi01,G-F,6-7,170
coopesh01,G,6-1,180
coopewa01,C-F,6-10,220
copato01,C,6-10,275
copelch01,F,6-9,239
copella01,G,6-6,190
corbity01,G-F,6-6,210
corchch01,G,6-0,185
cornepe01,F,6-11,220
corzida01,C,6-11,250
costema01,F,6-9,245
cottobr01,G,6-1,165
cottoja02,G,6-5,220
coulibi01,F,6-6,195
councri01,G,6-6,205
courtjo01,F,6-8,235
cousima01,C,6-11,245
couside01,C-F,6-10,270
covinro01,F-C,6-7,209
crabbal01,G-F,6-5,212
craigto01,G-F,6-7,221
crawfch01,F,6-9,235
crawfja01,G,6-5,185
crawfjo01,F,6-5,210
crawfjo02,G,6-4,195
creekmi01,G,6-5,216
crispjo01,G,6-0,185
crittja01,G,6-5,200
croshau01,F,6-9,235
crottjo01,G,6-1,185
crowdco01,G-F,6-5,214
crowdja01,F,6-6,235
crutcja01,G,6-2,175
culveja01,G,6-6,195
cumbeja01,G,6-5,205
cummipa01,F-C,6-9,230
cummite01,F,6-9,220
cummivo01,G,6-3,185
cunnica01,G,6-6,220
cunnida01,F,6-8,230
cunnija01,G,6-4,195
cunniwi01,C,6-11,250
curcira01,C,6-10,275
curetea01,F-C,6-9,210
curlebi01,F,6-9,220
curryde01,G,6-4,190
curryed01,C,7-0,295
curryja01,G,6-3,190
currymi01,F-G,6-5,210
curryse01,G,6-1,185
curryst01,G,6-2,185
cvetkra01,C,7-1,260
dailequ01,G,6-3,180
dalemsa01,C,6-11,255
dampier01,C,6-11,265
daniean01,G,6-4,195
daniedy01,G,6-8,199
danieer01,F,6-8,214
daniell01,G,6-7,205
daniema01,G-F,6-6,200
danietr01,G,6-4,200
danilsa01,G,6-5,200
dantlad01,F-G,6-5,208
dareyi01,C,7-0,265
darlina01,G,6-6,200
datomlu01,F,6-8,215
daughbr01,C,7-0,245
davidko01,F,6-9,235
davidje01,F,6-10,230
daviebr01,F,6-10,240
davisan02,F-C,6-10,253
davisan01,F-C,6-9,215
davisba01,G,6-3,209
davisbe01,F,6-9,240
davisbr01,G,6-3,180
davisbr02,F-G,6-7,200
davisch02,F,6-7,215
davisda01,F-C,6-11,230
davisde01,C-F,6-11,237
davised01,F,6-9,218
davisem01,G,6-4,195
davisgl01,F-C,6-9,289
davishu01,G,6-5,183
davisjo06,G,6-5,196
davisjo02,F,6-8,235
davisma02,G-F,6-7,210
davispa01,C,6-11,270
davisri01,G-F,6-6,195
daviste02,G,6-4,201
daviste01,F-C,6-9,225
davisty01,C,6-10,266
daviswa03,G-F,6-6,193
davisjd01,G,6-1,195
dawkian01,G,6-5,215
dawkijo01,G,6-2,165
dawsobr01,F,6-6,225
dawsoer01,F,6-9,250
dawsoto01,F,6-7,215
dayto01,G-F,6-6,188
dayeau01,F,6-11,220
daysda01,F,6-7,245
decolna01,G,6-5,200
declean01,F-C,6-10,230
delauja01,F,6-10,237
derozde01,G-F,6-6,220
deckga01,F,6-8,232
dedmode01,C,7-0,245
deherte01,G,6-2,190
dejeabr01,G,6-6,209
dekkesa01,F,6-9,230
delnevi01,G,6-4,185
delanma01,G,6-3,190
delebi01,F-C,6-9,235
delfica01,G,6-6,230
delgaan01,C,6-10,245
delkto01,G,6-1,189
dellama01,G,6-3,200
dempsde01,G,6-3,205
denglu01,F,6-9,237
dennide01,G,6-5,210
dentmju01,G,5-11,185
derrima01,F,6-7,249
divindo01,G,6-4,203
diabamo01,F,6-11,210
diakima01,F,6-9,228
dialde01,G,6-4,184
diallch01,F,6-8,219
diallha01,G,6-5,202
diawbo01,F-C,6-8,250
diawaya01,G-F,6-7,225
diazgu01,G,6-2,192
dickgr01,G,6-6,205
dickada01,G,6-0,190
dickeka01,F,6-8,215
dickemi01,G-F,6-5,190
dienetr01,G,6-1,175
dienggo01,C,6-10,252
diengou01,F,6-10,216
dinkiby01,G,6-1,170
dinwisp01,G,6-5,215
dioguik01,F,6-8,250
diopde01,C,7-0,300
divacvl01,C,7-1,243
dixonju01,G,6-3,164
doleami01,C,6-11,262
donalja01,C,7-2,275
doncilu01,G-F,6-7,230
doolike01,G,6-3,196
djordal01,G,6-2,198
dorsejo01,F,6-8,268
dorsety01,G,6-5,183
dortlu01,G,6-3,215
dosunay01,G,6-5,200
dotsoda01,G,6-5,210
dotsode01,G,6-2,185
doubyqu01,G,6-3,175
douglsh01,G,6-0,180
douglto01,G,6-2,195
douglch01,G,6-7,200
doumbse01,F,6-8,230
dowdeza01,G,6-3,191
dowtije01,G,6-3,185
doylemi01,G,6-4,185
doziepj01,G,6-6,205
doziete01,F,6-9,210
dragigo01,G,6-4,190
dragizo01,G-F,6-5,200
dreilgr01,C,7-1,250
drellhe01,G,6-9,187
drewbr01,G,6-2,185
drewla01,G,6-1,170
drewla02,G,6-2,180
drexlcl01,G,6-7,210
driggna01,G,6-5,215
drobnpr01,C,6-11,270
drumman01,C,6-11,279
duartch01,G,6-6,190
duckwke01,C,7-0,275
dudlech02,C,6-11,235
dudleja01,F-G,6-6,237
duhonch01,G,6-1,185
dukandu01,F,6-9,220
dukeda01,G,6-5,205
dumarjo01,G,6-3,190
dumasri02,F,6-7,200
dumasto01,G,6-6,190
duncati01,F-C,6-11,250
dunlemi01,G,6-3,180
dunlemi02,F-G,6-9,230
dunnkr01,G,6-3,205
dunntr01,G-F,6-4,192
duprero01,F,6-7,209
duranke01,F-G,6-11,240
durenja01,C,6-10,250
durhapa01,F,6-7,210
duvaltr01,G,6-2,189
dysonje01,G,6-3,180
eacklle01,G-F,6-5,220
earlac01,F-C,6-10,240
earlycl01,F,6-8,210
easonta01,F,6-8,216
eatonma01,C,7-4,275
ebankde01,F,6-9,215
ebind01,F,6-9,200
echenja01,C,6-11,258
eddieja01,G-F,6-7,218
eddiepa01,C,6-11,240
edneyty01,G,5-10,152
edwaran01,G-F,6-4,225
edwarbi01,F,6-8,215
edwarbl01,G-F,6-4,200
edwarca01,G,5-11,200
edwarco01,F,6-9,275
edwardo01,F,6-7,220
edwarja01,C-F,7-0,225
edwarja02,G,6-4,185
edwarjo01,C,7-0,275
edwarke02,F,6-8,215
edwarke01,G,6-3,190
edwarro01,G,6-5,205
edwarsh01,F,6-7,220
edwarvi01,F,6-8,225
ehlocr01,G-F,6-6,180
eisleho01,G,6-2,177
ekeziob01,F-C,6-9,270
elamikh01,G,5-10,200
eliema01,G-F,6-5,210
ellebcj01,F,6-6,200
ellenhe01,F,6-10,240
ellinwa01,G,6-4,207
elliose01,F,6-8,205
ellisda01,G-F,6-7,205
ellisha01,G,6-5,200
elliske01,G,6-6,175
ellisla01,F,6-8,240
ellisle02,F-C,6-9,225
ellismo01,G,6-3,185
ellispe01,F-C,6-9,210
elsonfr01,C,7-0,235
elyme01,C,6-10,260
embiijo01,C,7-0,280
emmetan01,F,6-5,230
engliaj01,G,6-3,175
englial01,F,6-8,190
englijo01,G,6-4,195
engliki01,G,6-6,200
ennisja01,F,6-6,215
ennisty01,G,6-3,194
erdense01,C,7-0,240
eschmev01,C,6-11,255
esposvi01,G,6-3,198
eubandr01,F,6-9,245
evansbr01,F,6-8,220
evansja02,G-F,6-4,210
evansja01,G,6-0,185
evansje01,F,6-9,200
evansma01,G,6-5,220
evansre01,F,6-8,245
evansty01,G-F,6-6,220
evbuoto01,F,6-8,219
ewingda01,G,6-3,185
ewingpa01,C-F,7-0,240
ewingpa02,F,6-8,235
exumda01,G,6-5,214
eyengch01,F,6-5,210
ezelife01,C,6-11,255
fallta01,C,7-6,311
farieke01,F-C,6-8,220
farmajo01,G,6-2,180
farmede01,G,6-5,220
farmeji01,G,6-4,190
farmeto01,F,6-9,244
favervi01,C,6-11,260
favorde01,F-C,6-9,265
fazekni01,F,6-11,235
feickja01,C,6-9,255
feitlda01,C,6-11,235
feldeka01,G,5-9,176
feliccr01,F-C,6-11,270
felixca01,G,6-6,201
felixno01,F,6-9,225
feltora01,G,6-1,205
fergude01,G-F,6-7,203
fergute01,G-F,6-6,190
fernaru01,G,6-6,185
fernabr01,F,6-9,240
ferredu01,F-G,6-7,209
ferreyo01,G,6-0,178
ferryda01,F,6-10,230
fesenky01,C,7-1,288
fieldla01,F,6-7,210
finlemi01,G-F,6-7,215
finnedo01,F,6-7,220
fishma01,C,6-11,235
fishede01,G,6-1,200
fitchge01,G,6-3,188
fittsma01,F,6-8,230
fizerma01,F,6-9,262
flaglad01,G,6-3,185
flemive01,G,6-5,185
florelu01,G,6-2,200
floydsl01,G,6-3,170
flynnjo01,G,6-0,185
flynnma01,G,6-1,175
fontais01,G,6-4,210
fontesi01,F,6-8,209
footeje01,C,7-0,265
forbebr01,G,6-2,205
forbega01,F,6-7,220
fordal03,F,6-8,220
fordal01,G,6-1,190
fordal02,F,6-9,275
fordjo01,G,6-1,175
fordsh02,F,6-9,225
fordsh01,F,6-7,210
fordtj01,G,6-0,165
forretr01,G,6-4,210
fortejo01,G,6-4,194
fortsco01,G,5-11,185
fortsda01,F,6-7,260
fostegr01,F-C,6-11,240
fosteje01,F-C,6-11,236
fostemi02,F,6-8,250
fotsian01,F,6-10,219
fournev01,G-F,6-6,205
fowlktr01,F,6-8,220
foxde01,G,6-3,185
foxri01,F-G,6-7,230
foyera01,G,6-4,213
foylead01,C,6-10,250
frahmri01,G,6-5,210
francst01,G,6-3,195
frankte01,F-C,6-10,225
frankja01,G,6-5,191
frankro01,F,6-7,225
frazime01,G,6-5,215
frazimi01,G,6-3,200
fraziti01,G,6-0,170
fredean01,F,6-7,205
fredeji01,G,6-2,195
kanteen01,C,6-10,250
freeljo01,F-C,6-10,250
freemja01,G,6-4,180
freijma01,F,6-10,240
fryech01,C-F,7-0,255
fudgeal01,F,6-8,200
fullehi01,F,6-9,240
fulleto02,C,6-11,255
fultzma01,G,6-4,209
fundela01,F,6-9,230
funkan01,G,6-5,200
gabriwe01,F,6-9,205
gadzuda01,C,6-11,240
gaffoda01,C-F,6-10,234
gaide01,F,6-9,250
gaineco01,G,6-3,195
gainere01,G,6-6,205
gainesu01,G,6-1,185
gallach01,C,6-10,255
gallida01,F,6-10,233
gallola01,G,6-1,200
gamblke01,F-G,6-5,210
garbajo01,F,6-9,245
garceru01,F,6-9,245
garcial01,G,6-3,220
garcifr01,F-G,6-7,195
gardnth01,G,6-5,225
garinpa01,G-F,6-6,210
garlada01,G,6-1,192
garlawi01,G,6-2,170
garnech01,G,5-10,156
garneke01,F-C,6-11,240
garnema01,G,6-2,186
garrebi01,G,6-6,213
garrede01,C,6-10,225
garredi02,G,6-4,190
garrema01,G,6-5,205
garrito01,G,6-2,185
garriki01,G,6-2,183
garripa01,F,6-9,238
garubus01,F,6-8,220
garzalu01,F-C,6-10,235
gasolma01,C,6-11,255
gasolpa01,C-F,7-0,250
gateska01,F,6-8,217
gatlich01,F-C,6-10,220
gattike01,F-C,6-8,225
gayru01,F,6-8,250
gazean01,G,6-7,205
gbinimi01,G,6-7,200
gearyre01,G,6-2,187
geeal01,G,6-6,225
geigema01,C,7-0,243
gelabmi01,F,6-7,215
georgde01,G-F,6-8,220
georgke01,G,6-4,185
georgpa01,F-G,6-8,220
georgta01,G,6-5,190
georgma01,G,6-5,216
gervide01,F,6-8,200
gibsoda01,G,6-2,190
gibsojo01,G,6-2,185
gibsota01,F-C,6-9,232
giddejr01,G,6-5,215
giddejo01,G,6-8,210
gildetr01,F,6-9,185
gilesha01,F-C,6-11,240
gilgesh01,G,6-6,180
gillan01,F,6-7,230
gilled01,G,6-0,190
gillke01,G,6-5,195
gilleco01,G,6-1,195
gillefr01,F,6-9,245
gilliar01,F-C,6-9,230
gilyaja01,G,5-9,160
ginobma01,G,6-6,205
giricgo01,G-F,6-6,210
gladnmi01,C,6-11,220
glassge01,G-F,6-5,221
glovedi01,G,6-5,228
glynian01,C,7-1,280
gminsmi01,C,6-11,250
goberru01,C,7-1,258
godfrda01,C,6-10,250
goldwan01,G,6-1,182
gomesry01,F,6-7,250
goodedr01,F,6-10,250
goodrst01,F,6-10,220
goodwar01,G,6-5,200
goodwbr01,G,6-0,180
goodwjo01,G,6-3,200
gordoaa01,F,6-8,235
gordobe01,G,6-3,200
