Player-additional,Year,Shares
oaklech01,1994,0.085
ewingpa01,1994,0.072
grantho01,1994,0.072
dumarjo01,1994,0.070
mannida01,1994,0.070
stricro02,1994,0.023
drexlcl01,1994,0.016
armstbj01,1994,0.012
majerda01,1994,0.012
smithst01,1994,0.012
mutomdi01,1994,0.010
ricegl01,1994,0.010
robincl02,1994,0.010
augmost01,1994,0.008
gillke01,1994,0.008
mcmilna01,1994,0.006
schrede01,1994,0.006
boguemu01,1994,0.004
hardaan01,1994,0.004
guglito01,1994,0.002
harpero01,1994,0.002
hornaje01,1994,0.002
jacksji01,1994,0.002
mckeyde01,1994,0.002
starkjo01,1994,0.002
weathcl01,1994,0.002
webbech01,1994,0.002
barklch01,1993,1.000
jordami01,1993,1.000
olajuha01,1993,0.929
malonka01,1993,0.769
pricema01,1993,0.702
wilkido01,1993,0.759
stockjo01,1993,0.600
ewingpa01,1993,0.596
dumarjo01,1993,0.592
johnsla02,1993,0.316
pippesc01,1993,0.278
hardati01,1993,0.202
petrodr01,1993,0.176
robinda01,1993,0.147
colemde01,1993,0.122
onealsh01,1993,0.118
mannida01,1993,0.112
majerda01,1993,0.100
kempsh01,1993,0.092
schrede01,1993,0.057
lewisre01,1993,0.053
johnske02,1993,0.029
rodmade01,1993,0.029
millere01,1993,0.022
nancela01,1993,0.018
starkjo01,1993,0.016
drexlcl01,1993,0.014
elliose01,1993,0.014
thomais01,1993,0.014
hornaje01,1993,0.012
mullich01,1993,0.012
robincl02,1993,0.010
anderke01,1993,0.008
blaylmo01,1993,0.008
daughbr01,1993,0.008
jacksma01,1993,0.006
skilesc01,1993,0.006
westdo01,1993,0.006
piercri01,1993,0.004
willike02,1993,0.004
boguemu01,1993,0.002
grantho01,1993,0.002
harpede01,1993,0.002
mournal01,1993,0.002
paytoga01,1993,0.002
smithch01,1993,0.002
smithst01,1993,0.002
stricro02,1993,0.002
thorpot01,1993,0.002
jordami01,1992,1.000
malonka01,1992,0.975
drexlcl01,1992,0.854
robinda01,1992,0.831
mullich01,1992,0.793
pippesc01,1992,0.713
ewingpa01,1992,0.646
hardati01,1992,0.603
stockjo01,1992,0.563
barklch01,1992,0.410
rodmade01,1992,0.374
pricema01,1992,0.169
johnske02,1992,0.163
daughbr01,1992,0.146
willike02,1992,0.079
hornaje01,1992,0.105
olajuha01,1992,0.077
dumarjo01,1992,0.059
johnsla02,1992,0.054
mannida01,1992,0.054
birdla01,1992,0.044
lewisre01,1992,0.036
nancela01,1992,0.033
thomais01,1992,0.021
richmmi01,1992,0.019
grantho01,1992,0.017
schrede01,1992,0.017
ricegl01,1992,0.013
thorpot01,1992,0.013
gillke01,1992,0.006
malonje01,1992,0.006
parisro01,1992,0.006
wilkido01,1992,0.006
willibu01,1992,0.006
millere01,1992,0.004
piercri01,1992,0.004
worthja01,1992,0.004
blaylmo01,1992,0.002
colemde01,1992,0.002
cummite01,1992,0.002
harpero01,1992,0.002
jacksma01,1992,0.002
portete01,1992,0.002
jordami01,1991,1.000
johnsma02,1991,0.992
malonka01,1991,0.975
robinda01,1991,0.962
barklch01,1991,0.950
ewingpa01,1991,0.504
wilkido01,1991,0.471
johnske02,1991,0.445
drexlcl01,1991,0.424
mullich01,1991,0.296
stockjo01,1991,0.336
worthja01,1991,0.246
kingbe01,1991,0.233
olajuha01,1991,0.210
dumarjo01,1991,0.128
birdla01,1991,0.218
hardati01,1991,0.111
parisro01,1991,0.099
portete01,1991,0.067
thorpot01,1991,0.053
pippesc01,1991,0.046
richmmi01,1991,0.040
willibu01,1991,0.040
daughbr01,1991,0.038
rodmade01,1991,0.038
millere01,1991,0.034
mchalke01,1991,0.027
adamsmi01,1991,0.019
simmoli01,1991,0.013
hawkihe01,1991,0.008
thomais01,1991,0.008
chambto01,1991,0.006
roberal01,1991,0.006
smithch01,1991,0.006
smithke01,1991,0.006
grantho01,1991,0.004
nancela01,1991,0.004
colemde01,1991,0.002
duckwke01,1991,0.002
harpede01,1991,0.002
hornaje01,1991,0.002
kerseje01,1991,0.002
johnsma02,1990,1.000
barklch01,1990,0.996
malonka01,1990,0.996
jordami01,1990,0.989
ewingpa01,1990,0.751
olajuha01,1990,0.712
stockjo01,1990,0.526
chambto01,1990,0.511
birdla01,1990,0.456
johnske02,1990,0.386
robinda01,1990,0.349
drexlcl01,1990,0.247
dumarjo01,1990,0.205
worthja01,1990,0.186
mullich01,1990,0.131
cummite01,1990,0.118
thomais01,1990,0.079
wilkido01,1990,0.079
mchalke01,1990,0.072
millere01,1990,0.055
leverfa01,1990,0.039
willibu01,1990,0.035
portete01,1990,0.026
pricema01,1990,0.020
rodmade01,1990,0.015
mccraro01,1990,0.011
blackro01,1990,0.009
richmmi01,1990,0.009
harpede01,1990,0.004
kingbe01,1990,0.004
parisro01,1990,0.004
campbto01,1990,0.002
johnsed03,1990,0.002
mahorri01,1990,0.002
malonje01,1990,0.002
oaklech01,1990,0.002
piercri01,1990,0.002
pippesc01,1990,0.002
smithch01,1990,0.002
williho01,1990,0.002
