Year,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,NRtg,Rel NRtg,Playoffs,SW,SL,Rtg
2006,Heat,52,30,0.634,1st of 5,3.59,91.6,1.1,108.7,2.5,104.5,-1.7,4.2,4.2,Championship,4,0,0.595
1994,Jazz,53,29,0.646,3rd of 6,4.1,93.1,-2,108.6,2.3,104.1,-2.2,4.5,4.5,Conf. Finals,2,1,0.594
2001,Mavericks,53,29,0.646,3rd of 7,4.61,93.2,1.9,107.1,4.1,102.6,-0.4,4.5,4.5,2nd Rnd. Exit,1,1,0.593
2019,Nuggets,54,28,0.659,1st of 5,4.19,97.7,-2.3,113,2.6,108.9,-1.5,4.1,4.1,2nd Rnd. Exit,1,1,0.593
1991,Spurs,55,27,0.671,1st of 7,4.3,98.6,0.8,107.8,-0.1,103.3,-4.6,4.5,4.5,1st Rnd. Exit,0,1,0.593
2018,Celtics,55,27,0.671,2nd of 5,3.23,96,-1.3,107.6,-1,103.9,-4.7,3.7,3.7,Conf. Finals,2,1,0.592
1998,Spurs,56,26,0.683,2nd of 7,3.3,88.4,-1.9,103.8,-1.2,99.4,-5.6,4.4,4.4,2nd Rnd. Exit,1,1,0.592
2023,Nuggets,53,29,0.646,1st of 5,3.04,98.1,-1,117.6,2.8,114.2,-0.6,3.4,3.4,Championship,4,0,0.591
2015,Grizzlies,55,27,0.671,2nd of 5,3.62,92,-1.9,105.7,0.1,102.2,-3.4,3.5,3.5,2nd Rnd. Exit,1,1,0.590
2010,Hawks,53,29,0.646,2nd of 5,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,5.2,5.2,2nd Rnd. Exit,1,1,0.590
2001,Jazz,53,29,0.646,2nd of 7,5,89.8,-1.5,107.6,4.6,102.4,-0.6,5.2,5.2,1st Rnd. Exit,0,1,0.589
1993,Rockets,55,27,0.671,1st of 6,3.57,94.4,-2.4,109.6,1.6,105.2,-2.8,4.4,4.4,2nd Rnd. Exit,1,1,0.589
2008,Magic,52,30,0.634,1st of 5,4.79,93.4,1,111.3,3.8,105.5,-2,5.8,5.8,2nd Rnd. Exit,1,1,0.588
2002,Nets,52,30,0.634,1st of 7,3.67,91.8,1.1,104,-0.5,99.5,-5,4.5,4.5,Finals,3,1,0.587
1990,76ers,53,29,0.646,1st of 6,4.23,96.5,-1.8,113.5,5.4,108.4,0.3,5.1,5.1,2nd Rnd. Exit,1,1,0.585
2007,Pistons,53,29,0.646,1st of 5,3.69,87.3,-4.6,108.9,2.4,104.2,-2.3,4.7,4.7,Conf. Finals,2,1,0.585
2013,Knicks,54,28,0.659,1st of 5,3.73,89.8,-2.2,111.1,5.2,106.3,0.4,4.8,4.8,2nd Rnd. Exit,1,1,0.584
1990,Bulls,55,27,0.671,2nd of 7,2.74,96.7,-1.6,112.3,4.2,109,0.9,3.3,3.3,Conf. Finals,2,1,0.582
2009,Nuggets,54,28,0.659,1st of 5,3.13,94.3,2.6,110.4,2.1,106.8,-1.5,3.6,3.6,Conf. Finals,2,1,0.582
1992,Warriors,55,27,0.671,2nd of 7,3.77,103.4,6.8,113.6,5.4,109.9,1.7,3.7,3.7,1st Rnd. Exit,0,1,0.582
2007,Rockets,52,30,0.634,3rd of 5,5.04,90.7,-1.2,106,-0.5,100.7,-5.8,5.3,5.3,1st Rnd. Exit,0,1,0.581
2003,Nets,49,33,0.598,1st of 7,4.42,91.6,0.6,103.8,0.2,98.1,-5.5,5.7,5.7,Finals,3,1,0.579
2011,Magic,52,30,0.634,2nd of 5,4.92,91.2,-0.9,107.9,0.6,102,-5.3,5.9,5.9,1st Rnd. Exit,0,1,0.578
2018,76ers,52,30,0.634,3rd of 5,4.3,99.8,2.5,109.5,0.9,105,-3.6,4.5,4.5,2nd Rnd. Exit,1,1,0.578
2004,Mavericks,52,30,0.634,3rd of 7,4.86,93.2,3.1,112.1,9.2,107.4,4.5,4.7,4.7,1st Rnd. Exit,0,1,0.577
2010,Spurs,50,32,0.61,2nd of 5,5.07,91.7,-1,110,2.4,104.5,-3.1,5.5,5.5,2nd Rnd. Exit,1,1,0.577
2023,Cavaliers,51,31,0.622,2nd of 5,5.23,95.7,-3.4,116.1,1.3,110.6,-4.2,5.5,5.5,1st Rnd. Exit,0,1,0.575
2009,Rockets,53,29,0.646,2nd of 5,3.73,90.2,-1.5,108.4,0.1,104,-4.3,4.4,4.4,2nd Rnd. Exit,1,1,0.575
1994,Bulls,55,27,0.671,2nd of 7,2.87,91.9,-3.2,106.1,-0.2,102.7,-3.6,3.4,3.4,2nd Rnd. Exit,1,1,0.574
2014,Warriors,51,31,0.622,2nd of 5,5.15,96.2,2.3,107.5,0.8,102.6,-4.1,4.9,4.9,1st Rnd. Exit,0,1,0.574
1996,Lakers,53,29,0.646,2nd of 7,4.21,92.4,0.6,111.4,3.8,106.6,-1,4.8,4.8,1st Rnd. Exit,0,1,0.572
1995,Knicks,55,27,0.671,2nd of 7,2.78,91.2,-1.7,107.2,-1.1,103.8,-4.5,3.4,3.4,2nd Rnd. Exit,1,1,0.572
1991,Jazz,54,28,0.659,2nd of 7,3.18,95.3,-2.5,108.6,0.7,105.1,-2.8,3.5,3.5,2nd Rnd. Exit,1,1,0.572
2010,Nuggets,53,29,0.646,1st of 5,4.15,94.8,2.1,111.8,4.2,107.5,-0.1,4.3,4.3,1st Rnd. Exit,0,1,0.571
2016,Clippers,53,29,0.646,2nd of 5,4.13,95.8,0,108.3,1.9,103.8,-2.6,4.5,4.5,1st Rnd. Exit,0,1,0.571
1995,Pacers,52,30,0.634,1st of 7,3.35,90,-2.9,109.6,1.3,105.6,-2.7,4,4.0,Conf. Finals,2,1,0.570
2019,Jazz,50,32,0.61,3rd of 5,5.28,100.3,0.3,110.9,0.5,105.7,-4.7,5.2,5.2,1st Rnd. Exit,0,1,0.567
2022,Jazz,49,33,0.598,1st of 5,5.67,97.1,-1.1,116.7,4.7,110.5,-1.5,6.2,6.2,1st Rnd. Exit,0,1,0.566
2001,Bucks,52,30,0.634,1st of 8,3.14,92.1,0.8,108.8,5.8,104.6,1.6,4.2,4.2,Conf. Finals,2,1,0.565
2022,Mavericks,52,30,0.634,2nd of 5,3.12,95.4,-2.8,112.8,0.8,109.4,-2.6,3.4,3.4,Conf. Finals,2,1,0.565
2010,Celtics,50,32,0.61,1st of 5,3.37,91.6,-1.1,107.7,0.1,103.8,-3.8,3.9,3.9,Finals,3,1,0.565
2008,Mavericks,51,31,0.622,4th of 5,4.7,90.2,-2.2,111.1,3.6,106.1,-1.4,5,5.0,1st Rnd. Exit,0,1,0.564
2007,Cavaliers,50,32,0.61,2nd of 5,3.33,90.8,-1.1,105.5,-1,101.3,-5.2,4.2,4.2,Finals,3,1,0.564
2009,Spurs,54,28,0.659,1st of 5,3.36,88.4,-3.3,108.5,0.2,104.3,-4,4.2,4.2,1st Rnd. Exit,0,1,0.564
2017,Jazz,51,31,0.622,1st of 5,4,91.6,-4.8,109.6,0.8,105.3,-3.5,4.3,4.3,2nd Rnd. Exit,1,1,0.563
2017,Cavaliers,51,31,0.622,1st of 5,2.87,96.2,-0.2,113.6,4.8,110.3,1.5,3.3,3.3,Finals,3,1,0.562
2024,Knicks,50,32,0.61,2nd of 5,4.36,95.2,-3.3,118.2,2.9,113.4,-1.9,4.8,4.8,2nd Rnd. Exit,1,1,0.562
1999,Magic,33,17,0.66,2nd of 7,3.11,88.8,-0.1,100.3,-1.9,97.4,-4.8,2.9,2.9,1st Rnd. Exit,0,1,0.560
2017,Clippers,51,31,0.622,2nd of 5,4.42,96.1,-0.3,112.7,3.9,108.2,-0.6,4.5,4.5,1st Rnd. Exit,0,1,0.559
2010,Mavericks,55,27,0.671,1st of 5,2.66,92.5,-0.2,109.2,1.6,106.3,-1.3,2.9,2.9,1st Rnd. Exit,0,1,0.558
2015,TrailBlazers,51,31,0.622,1st of 5,4.41,94.2,0.3,108.2,2.6,103.7,-1.9,4.5,4.5,1st Rnd. Exit,0,1,0.558
2011,Nuggets,50,32,0.61,2nd of 5,4.81,95.6,3.5,112.3,5,107.3,0,5,5.0,1st Rnd. Exit,0,1,0.558
1999,Hawks,31,19,0.62,2nd of 8,2.82,85.3,-3.6,100.5,-1.7,97.1,-5.1,3.4,3.4,2nd Rnd. Exit,1,1,0.557
2007,Bulls,49,33,0.598,3rd of 5,4.52,93.6,1.7,104.9,-1.6,99.6,-6.9,5.3,5.3,2nd Rnd. Exit,1,1,0.556
1992,Knicks,51,31,0.622,2nd of 7,3.67,92.9,-3.7,108.3,0.1,104.2,-4,4.1,4.1,2nd Rnd. Exit,1,1,0.556
2017,Raptors,51,31,0.622,2nd of 5,3.65,94.7,-1.7,112.3,3.5,107.8,-1,4.5,4.5,2nd Rnd. Exit,1,1,0.556
2005,Rockets,51,31,0.622,3rd of 5,4.27,88.8,-2.1,106.2,0.1,101.7,-4.4,4.5,4.5,1st Rnd. Exit,0,1,0.555
2007,Jazz,51,31,0.622,1st of 5,3.06,91.6,-0.3,110.1,3.6,107,0.5,3.1,3.1,Conf. Finals,2,1,0.555
2017,Celtics,53,29,0.646,1st of 5,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,2.8,2.8,Conf. Finals,2,1,0.555
1999,Lakers,31,19,0.62,2nd of 7,2.68,91.6,2.7,107.6,5.4,104.3,2.1,3.3,3.3,2nd Rnd. Exit,1,1,0.554
2020,Heat,44,29,0.603,1st of 5,2.59,98.3,-2,112.5,1.9,109.5,-1.1,3,3.2,Finals,3,1,0.552
2020,Nuggets,46,27,0.63,1st of 5,2.35,97.1,-3.2,113.1,2.5,111,0.4,2.1,2.3,Conf. Finals,2,1,0.552
2001,TrailBlazers,50,32,0.61,4th of 7,4.52,89.1,-2.2,106.5,3.5,101.8,-1.2,4.7,4.7,1st Rnd. Exit,0,1,0.551
1992,Celtics,51,31,0.622,1st of 7,3.41,95.8,-0.8,110.8,2.6,107,-1.2,3.8,3.8,2nd Rnd. Exit,1,1,0.551
2012,Pacers,42,24,0.636,2nd of 5,2.6,90.7,-0.6,106.7,2.1,103.1,-1.5,3.6,3.6,2nd Rnd. Exit,1,1,0.551
2013,Pacers,49,32,0.605,1st of 5,3.34,90.2,-1.8,104.3,-1.6,99.8,-6.1,4.5,4.5,Conf. Finals,2,1,0.550
1991,Pistons,50,32,0.61,2nd of 7,3.08,91.9,-5.9,108.2,0.3,104.6,-3.3,3.6,3.6,Conf. Finals,2,1,0.548
2022,Bucks,51,31,0.622,1st of 5,3.22,99.9,1.7,115.1,3.1,111.8,-0.2,3.3,3.3,2nd Rnd. Exit,1,1,0.547
2018,Jazz,48,34,0.585,3rd of 5,4.47,95.7,-1.6,108.4,-0.2,103.9,-4.7,4.5,4.5,2nd Rnd. Exit,1,1,0.547
2000,Heat,52,30,0.634,1st of 7,2.75,89.7,-3.4,104.5,0.4,101,-3.1,3.5,3.5,2nd Rnd. Exit,1,1,0.546
2003,Pistons,50,32,0.61,1st of 8,2.97,86.8,-4.2,104.1,0.5,99.9,-3.7,4.2,4.2,Conf. Finals,2,1,0.545
1991,Rockets,52,30,0.634,3rd of 7,3.27,98.5,0.7,107.4,-0.5,103.9,-4,3.5,3.5,1st Rnd. Exit,0,1,0.544
2019,Celtics,49,33,0.598,3rd of 5,3.9,99.2,-0.8,112.7,2.3,108.3,-2.1,4.4,4.4,2nd Rnd. Exit,1,1,0.543
1990,Celtics,52,30,0.634,2nd of 6,3.23,98.2,-0.1,112,3.9,107.9,-0.2,4.1,4.1,1st Rnd. Exit,0,1,0.543
2024,Mavericks,50,32,0.61,1st of 5,2.3,100.1,1.6,117.6,2.3,115.4,0.1,2.2,2.2,Finals,3,1,0.543
2005,SuperSonics,52,30,0.634,1st of 5,2.59,87.9,-3,112.2,6.1,109.6,3.5,2.6,2.6,2nd Rnd. Exit,1,1,0.542
2023,Grizzlies,51,31,0.622,1st of 5,3.6,101.1,2,115.1,0.3,111.2,-3.6,3.9,3.9,1st Rnd. Exit,0,1,0.541
2024,Pelicans,49,33,0.598,2nd of 5,4.46,97.9,-0.6,117.4,2.1,112.9,-2.4,4.5,4.5,1st Rnd. Exit,0,1,0.541
2020,Rockets,44,28,0.611,1st of 5,3.13,103.7,3.4,112.9,2.3,110.1,-0.5,2.8,3.0,2nd Rnd. Exit,1,1,0.541
1996,Pacers,52,30,0.634,2nd of 8,3.11,89.3,-2.5,110.8,3.2,107.2,-0.4,3.6,3.6,1st Rnd. Exit,0,1,0.540
1997,Hornets,54,28,0.659,4th of 8,2.13,88.6,-1.5,110.9,4.2,108.9,2.2,2,1.9,1st Rnd. Exit,0,1,0.538
1998,Hawks,50,32,0.61,4th of 8,3.85,87.7,-2.6,108.2,3.2,104.3,-0.7,3.9,3.9,1st Rnd. Exit,0,1,0.538
2024,Clippers,51,31,0.622,1st of 5,3.41,97.2,-1.3,118.8,3.5,115.4,0.1,3.4,3.4,1st Rnd. Exit,0,1,0.538
2008,Nuggets,50,32,0.61,2nd of 5,3.74,99.7,7.3,110,2.5,106.3,-1.2,3.7,3.7,1st Rnd. Exit,0,1,0.535
1995,Bulls,47,35,0.573,3rd of 7,4.32,92,-0.9,109.5,1.2,104.3,-4,5.2,5.2,2nd Rnd. Exit,1,1,0.535
2012,Clippers,40,26,0.606,2nd of 5,2.82,89.2,-2.1,108.5,3.9,105.7,1.1,2.8,2.8,2nd Rnd. Exit,1,1,0.534
1994,Magic,50,32,0.61,2nd of 7,3.68,95.2,0.1,110.8,4.5,106.7,0.4,4.1,4.1,1st Rnd. Exit,0,1,0.534
2022,76ers,51,31,0.622,2nd of 5,2.57,96.2,-2,113.5,1.5,110.8,-1.2,2.7,2.7,2nd Rnd. Exit,1,1,0.533
1999,Knicks,27,23,0.54,4th of 7,1.45,86.9,-2,98.6,-3.6,97.5,-4.7,1.1,1.1,Finals,3,1,0.533
2002,Timberwolves,50,32,0.61,3rd of 7,3.58,90.5,-0.2,109,4.5,105.3,0.8,3.7,3.7,1st Rnd. Exit,0,1,0.532
2020,Mavericks,43,32,0.573,2nd of 5,4.87,99.3,-1,116.7,6.1,111.7,1.1,5,5.2,1st Rnd. Exit,0,1,0.531
2010,Thunder,50,32,0.61,4th of 5,3.55,93.1,0.4,108.3,0.7,104.6,-3,3.7,3.7,1st Rnd. Exit,0,1,0.531
1998,Hornets,51,31,0.622,3rd of 8,2.45,89.4,-0.9,107.5,2.5,105.3,0.3,2.2,2.2,2nd Rnd. Exit,1,1,0.531
1995,Rockets,47,35,0.573,3rd of 6,2.32,94.2,1.3,109.7,1.4,107.4,-0.9,2.3,2.3,Championship,4,0,0.530
2012,Celtics,39,27,0.591,1st of 5,2.26,90.4,-0.9,101,-3.6,98.2,-6.4,2.8,2.8,Conf. Finals,2,1,0.530
2003,Lakers,50,32,0.61,2nd of 7,2.71,92.5,1.5,107.2,3.6,104.7,1.1,2.5,2.5,2nd Rnd. Exit,1,1,0.527
2015,Mavericks,50,32,0.61,4th of 5,3.36,95.2,1.3,109.5,3.9,106.4,0.8,3.1,3.1,1st Rnd. Exit,0,1,0.527
1993,TrailBlazers,51,31,0.622,3rd of 7,2.92,99.1,2.3,108.3,0.3,105.2,-2.8,3.1,3.1,1st Rnd. Exit,0,1,0.527
2012,Lakers,41,25,0.621,1st of 5,1.96,90.5,-0.8,106,1.4,104.4,-0.2,1.6,1.6,2nd Rnd. Exit,1,1,0.527
2019,76ers,51,31,0.622,2nd of 5,2.25,101.6,1.6,112.6,2.2,110,-0.4,2.6,2.6,2nd Rnd. Exit,1,1,0.527
1994,Pacers,47,35,0.573,3rd of 7,3.26,93.3,-1.8,107.8,1.5,104.2,-2.1,3.6,3.6,Conf. Finals,2,1,0.526
2016,Hawks,48,34,0.585,2nd of 5,3.49,97.1,1.3,105.1,-1.3,101.4,-5,3.7,3.7,2nd Rnd. Exit,1,1,0.526
2006,Grizzlies,49,33,0.598,3rd of 5,3.74,86.3,-4.2,105.9,-0.3,101.6,-4.6,4.3,4.3,1st Rnd. Exit,0,1,0.526
2015,Bulls,50,32,0.61,2nd of 5,2.54,92.8,-1.1,107.5,1.9,104.3,-1.3,3.2,3.2,2nd Rnd. Exit,1,1,0.524
2010,TrailBlazers,50,32,0.61,3rd of 5,3.18,87.7,-5,110.8,3.2,107.1,-0.5,3.7,3.7,1st Rnd. Exit,0,1,0.524
2019,Thunder,49,33,0.598,4th of 5,3.56,102.8,2.8,110.3,-0.1,107,-3.4,3.3,3.3,1st Rnd. Exit,0,1,0.522
1997,TrailBlazers,49,33,0.598,3rd of 7,3.56,90.9,0.8,107.9,1.2,103.3,-3.4,4.6,4.5,1st Rnd. Exit,0,1,0.522
2001,Suns,51,31,0.622,3rd of 7,2.63,93.1,1.8,100.3,-2.7,98,-5,2.3,2.3,1st Rnd. Exit,0,1,0.521
2003,TrailBlazers,50,32,0.61,3rd of 7,2.97,89.4,-1.6,105.5,1.9,102.6,-1,2.9,2.9,1st Rnd. Exit,0,1,0.519
2004,Grizzlies,50,32,0.61,4th of 7,2.95,91.4,1.3,104.8,1.9,102.2,-0.7,2.6,2.6,1st Rnd. Exit,0,1,0.519
2003,Timberwolves,51,31,0.622,3rd of 7,2.46,91.9,0.9,106.1,2.5,103.8,0.2,2.3,2.3,1st Rnd. Exit,0,1,0.518
1999,Pistons,29,21,0.58,3rd of 8,3.97,86.3,-2.6,104.2,2,100.3,-1.9,3.9,3.9,1st Rnd. Exit,0,1,0.518
1995,Hornets,50,32,0.61,2nd of 7,2.87,91.2,-1.7,109.6,1.3,106.1,-2.2,3.5,3.5,1st Rnd. Exit,0,1,0.517
2012,Grizzlies,41,25,0.621,2nd of 5,2.43,90.8,-0.5,104,-0.6,101.8,-2.8,2.2,2.2,1st Rnd. Exit,0,1,0.517
2006,Cavaliers,50,32,0.61,2nd of 5,2.17,89.8,-0.7,107.8,1.6,105.4,-0.8,2.4,2.4,2nd Rnd. Exit,1,1,0.516
2024,Pacers,47,35,0.573,3rd of 5,2.75,101.7,3.2,121,5.7,118,2.7,3,3.0,Conf. Finals,2,1,0.516
2002,TrailBlazers,49,33,0.598,3rd of 7,3.21,89.3,-1.4,107.4,2.9,104,-0.5,3.4,3.4,1st Rnd. Exit,0,1,0.515
2000,Timberwolves,50,32,0.61,3rd of 7,2.67,91.8,-1.3,106.1,2,103.4,-0.7,2.7,2.7,1st Rnd. Exit,0,1,0.513
2024,Suns,49,33,0.598,2nd of 5,3.08,98.3,-0.2,117.6,2.3,114.6,-0.7,3,3.0,1st Rnd. Exit,0,1,0.512
1999,76ers,28,22,0.56,3rd of 7,2.56,88.6,-0.3,99.9,-2.3,97.6,-4.6,2.3,2.3,2nd Rnd. Exit,1,1,0.512
2002,Celtics,49,33,0.598,2nd of 7,1.75,92.5,1.8,103.4,-1.1,101,-3.5,2.4,2.4,Conf. Finals,2,1,0.511
2020,Jazz,44,28,0.611,3rd of 5,2.52,98.6,-1.7,112.3,1.7,109.9,-0.7,2.4,2.6,1st Rnd. Exit,0,1,0.511
2005,Kings,50,32,0.61,2nd of 5,2.56,93,2.1,110.5,4.4,108.2,2.1,2.3,2.3,1st Rnd. Exit,0,1,0.511
2000,Knicks,50,32,0.61,2nd of 7,1.3,89.2,-3.9,102.5,-1.6,100.9,-3.2,1.6,1.6,Conf. Finals,2,1,0.510
2018,Thunder,48,34,0.585,2nd of 5,3.42,96.7,-0.6,110.7,2.1,107.2,-1.4,3.5,3.5,1st Rnd. Exit,0,1,0.510
2012,Hawks,40,26,0.606,2nd of 5,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,3.7,3.7,1st Rnd. Exit,0,1,0.510
2014,Mavericks,49,33,0.598,4th of 5,2.91,93.5,-0.4,111.2,4.5,108.7,2,2.5,2.5,1st Rnd. Exit,0,1,0.509
1993,Spurs,49,33,0.598,2nd of 6,2.21,95.4,-1.4,109.6,1.6,106.8,-1.2,2.8,2.8,2nd Rnd. Exit,1,1,0.508
2021,Hawks,41,31,0.569,1st of 5,2.14,97.6,-1.6,115.7,3.4,113.3,1,2.4,2.4,Conf. Finals,2,1,0.508
2023,Knicks,47,35,0.573,3rd of 5,2.99,97.1,-2,117.8,3,114.8,0,3,3.0,2nd Rnd. Exit,1,1,0.507
2018,Cavaliers,50,32,0.61,1st of 5,0.59,98,0.7,112.9,4.3,111.9,3.3,1,1.0,Finals,3,1,0.507
2020,Thunder,44,28,0.611,2nd of 5,2.33,98.8,-1.5,110.8,0.2,108.8,-1.8,2,2.2,1st Rnd. Exit,0,1,0.507
2002,Pistons,50,32,0.61,1st of 8,1.69,90,-0.7,104.8,0.3,102.4,-2.1,2.4,2.4,2nd Rnd. Exit,1,1,0.506
2009,Mavericks,50,32,0.61,3rd of 5,1.68,91.5,-0.2,110.5,2.2,108.4,0.1,2.1,2.1,2nd Rnd. Exit,1,1,0.506
1994,Cavaliers,47,35,0.573,4th of 7,3.64,91.7,-3.4,109.4,3.1,105.1,-1.2,4.3,4.3,1st Rnd. Exit,0,1,0.506
2014,Grizzlies,50,32,0.61,3rd of 5,2.18,89.9,-4,106.3,-0.4,104.6,-2.1,1.7,1.7,1st Rnd. Exit,0,1,0.503
2018,TrailBlazers,49,33,0.598,1st of 5,2.6,96.5,-0.8,109.1,0.5,106.4,-2.2,2.7,2.7,1st Rnd. Exit,0,1,0.502
2014,Suns,48,34,0.585,3rd of 5,3.02,95.8,1.9,109.5,2.8,106.7,0,2.8,2.8,Missed Playoffs,0,0,0.502
2015,Raptors,49,33,0.598,1st of 5,2.45,92.8,-1.1,111,5.4,107.7,2.1,3.3,3.3,1st Rnd. Exit,0,1,0.499
2024,Bucks,49,33,0.598,1st of 5,2.44,99.9,1.4,118.4,3.1,115.8,0.5,2.6,2.6,1st Rnd. Exit,0,1,0.499
2016,Celtics,48,34,0.585,2nd of 5,2.84,98.5,2.7,106.8,0.4,103.6,-2.8,3.2,3.2,1st Rnd. Exit,0,1,0.498
2012,Nuggets,38,28,0.576,2nd of 5,3.16,94.2,2.9,109.2,4.6,106.2,1.6,3,3.0,1st Rnd. Exit,0,1,0.498
2012,76ers,35,31,0.53,3rd of 5,3.59,89.7,-1.6,103.9,-0.7,99.2,-5.4,4.7,4.7,2nd Rnd. Exit,1,1,0.497
2003,Pacers,48,34,0.585,2nd of 8,2.79,91.6,0.6,104.6,1,100.8,-2.8,3.8,3.8,1st Rnd. Exit,0,1,0.497
2000,Hornets,49,33,0.598,2nd of 8,2.33,93.9,0.8,104.3,0.2,101.4,-2.7,2.9,2.9,1st Rnd. Exit,0,1,0.497
2019,Pacers,48,34,0.585,2nd of 5,2.76,98.1,-1.9,109.9,-0.5,106.5,-3.9,3.4,3.4,1st Rnd. Exit,0,1,0.497
2020,Pacers,45,28,0.616,2nd of 5,1.63,98.9,-1.4,110,-0.6,108,-2.6,2,2.2,1st Rnd. Exit,0,1,0.496
2021,Lakers,42,30,0.583,3rd of 5,2.77,98.7,-0.5,109.9,-2.4,107.1,-5.2,2.8,2.8,1st Rnd. Exit,0,1,0.495
2024,Cavaliers,48,34,0.585,2nd of 5,1.98,97.2,-1.3,115.2,-0.1,112.7,-2.6,2.5,2.5,2nd Rnd. Exit,1,1,0.495
2005,Nuggets,49,33,0.598,2nd of 5,2.23,93.5,2.6,106,-0.1,103.9,-2.2,2.1,2.1,1st Rnd. Exit,0,1,0.495
1994,Warriors,50,32,0.61,3rd of 7,1.76,99.1,4,108.3,2,106.5,0.2,1.8,1.8,1st Rnd. Exit,0,1,0.494
1999,Rockets,31,19,0.62,3rd of 7,1.39,88.8,-0.1,105.4,3.2,102.9,0.7,2.5,2.5,1st Rnd. Exit,0,1,0.494
1998,Cavaliers,47,35,0.573,5th of 8,3.06,89.9,-0.4,102.2,-2.8,99.1,-5.9,3.1,3.1,1st Rnd. Exit,0,1,0.494
2001,Heat,50,32,0.61,2nd of 7,1.73,87.1,-4.2,101.1,-1.9,98.5,-4.5,2.6,2.6,1st Rnd. Exit,0,1,0.493
2014,Raptors,48,34,0.585,1st of 5,2.55,91.8,-2.1,108.8,2.1,105.3,-1.4,3.5,3.5,1st Rnd. Exit,0,1,0.492
1996,Knicks,47,35,0.573,2nd of 7,2.24,91,-0.8,106,-1.6,103.5,-4.1,2.5,2.5,2nd Rnd. Exit,1,1,0.491
2017,Wizards,49,33,0.598,1st of 5,1.36,97.4,1,111.2,2.4,109.3,0.5,1.9,1.9,2nd Rnd. Exit,1,1,0.491
2003,76ers,48,34,0.585,2nd of 7,1.76,91.4,0.4,105,1.4,102.5,-1.1,2.5,2.5,2nd Rnd. Exit,1,1,0.490
2018,Spurs,47,35,0.573,3rd of 5,2.89,95,-2.3,107.9,-0.7,104.8,-3.8,3.1,3.1,1st Rnd. Exit,0,1,0.490
2011,Grizzlies,46,36,0.561,4th of 5,2.55,91.9,-0.2,107.6,0.3,105.1,-2.2,2.5,2.5,2nd Rnd. Exit,1,1,0.489
2020,76ers,43,30,0.589,3rd of 5,2.25,99,-1.3,111.3,0.7,109,-1.6,2.3,2.5,1st Rnd. Exit,0,1,0.489
2022,Raptors,48,34,0.585,3rd of 5,2.38,96,-2.2,112.9,0.9,110.5,-1.5,2.4,2.4,1st Rnd. Exit,0,1,0.489
2008,Warriors,48,34,0.585,3rd of 5,2.38,98.8,6.4,111.8,4.3,109.5,2,2.3,2.3,Missed Playoffs,0,0,0.489
2013,Rockets,45,37,0.549,3rd of 5,3.69,96.1,4.1,109.7,3.8,106.1,0.2,3.6,3.6,1st Rnd. Exit,0,1,0.488
1992,Spurs,47,35,0.573,2nd of 6,2.81,96.2,-0.4,107.5,-0.7,104.1,-4.1,3.4,3.4,1st Rnd. Exit,0,1,0.488
2016,Hornets,48,34,0.585,3rd of 5,2.36,95.7,-0.1,107.1,0.7,104.3,-2.1,2.8,2.8,1st Rnd. Exit,0,1,0.488
1991,Bucks,48,34,0.585,3rd of 7,2.33,96.1,-1.7,109.7,1.8,107.2,-0.7,2.5,2.5,1st Rnd. Exit,0,1,0.488
1996,Rockets,48,34,0.585,3rd of 7,1.63,93.2,1.4,109.3,1.7,107.4,-0.2,1.9,1.9,2nd Rnd. Exit,1,1,0.487
2003,Jazz,47,35,0.573,4th of 7,2.76,89.3,-1.7,105.5,1.9,102.8,-0.8,2.7,2.7,1st Rnd. Exit,0,1,0.487
2009,Jazz,48,34,0.585,3rd of 5,2.31,93.1,1.4,110.1,1.8,107.3,-1,2.8,2.8,1st Rnd. Exit,0,1,0.487
2023,Kings,48,34,0.585,1st of 5,2.3,100.3,1.2,119.4,4.6,116.8,2,2.6,2.6,1st Rnd. Exit,0,1,0.487
2006,Nets,49,33,0.598,1st of 5,1.11,89.8,-0.7,103.9,-2.3,102.4,-3.8,1.5,1.5,2nd Rnd. Exit,1,1,0.485
2016,Heat,48,34,0.585,1st of 5,1.5,93.6,-2.2,106.1,-0.3,104.4,-2,1.7,1.7,2nd Rnd. Exit,1,1,0.485
2021,Mavericks,42,30,0.583,1st of 5,2.26,97.3,-1.9,115.4,3.1,113,0.7,2.4,2.4,1st Rnd. Exit,0,1,0.485
2018,Pelicans,48,34,0.585,2nd of 5,1.48,100.5,3.2,109.6,1,108.3,-0.3,1.3,1.3,2nd Rnd. Exit,1,1,0.484
1994,TrailBlazers,47,35,0.573,4th of 7,2.6,98.8,3.7,108.1,1.8,105.5,-0.8,2.6,2.6,1st Rnd. Exit,0,1,0.484
2022,Nuggets,48,34,0.585,2nd of 5,2.16,97.8,-0.4,114.5,2.5,112.1,0.1,2.4,2.4,1st Rnd. Exit,0,1,0.484
2004,Nets,47,35,0.573,1st of 7,1.88,89.4,-0.7,100.8,-2.1,98,-4.9,2.8,2.8,2nd Rnd. Exit,1,1,0.484
