Year,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,NRtg,Rel NRtg,Playoffs,SW,SL,Rtg
2011,Bulls,62,20,0.756,1st of 5,6.53,90.4,-1.7,108.3,1,100.3,-7,8,8.0,Conf. Finals,2,1,0.719
2007,Suns,61,21,0.744,1st of 5,7.28,95.6,3.7,113.9,7.4,106.4,-0.1,7.5,7.5,2nd Rnd. Exit,1,1,0.719
1998,Lakers,61,21,0.744,2nd of 7,6.88,93.6,3.3,111.9,6.9,103.7,-1.3,8.2,8.2,Conf. Finals,2,1,0.718
2002,Lakers,58,24,0.707,2nd of 7,7.15,92.1,1.4,109.4,4.9,101.7,-2.8,7.7,7.7,Championship,4,0,0.715
2001,Spurs,58,24,0.707,1st of 7,7.92,89.6,-1.7,106.6,3.6,98,-5,8.6,8.6,Conf. Finals,2,1,0.715
1995,Jazz,60,22,0.732,2nd of 6,7.76,92.6,-0.3,114.3,6,105.7,-2.6,8.6,8.6,1st Rnd. Exit,0,1,0.710
1998,Jazz,62,20,0.756,1st of 7,5.73,89.2,-1.1,112.7,7.7,105.4,0.4,7.3,7.3,Finals,3,1,0.710
2012,Thunder,47,19,0.712,1st of 5,6.44,93,1.7,109.8,5.2,103.2,-1.4,6.6,6.6,Finals,3,1,0.708
2010,Magic,59,23,0.72,1st of 5,7.12,92,-0.7,111.4,3.8,103.3,-4.3,8.1,8.1,Conf. Finals,2,1,0.707
1995,Spurs,62,20,0.756,1st of 6,5.9,94.6,1.7,111.7,3.4,105.4,-2.9,6.3,6.3,Conf. Finals,2,1,0.706
2008,Lakers,57,25,0.695,1st of 5,7.34,95.6,3.2,113,5.5,105.5,-2,7.5,7.5,Finals,3,1,0.703
1990,TrailBlazers,59,23,0.72,2nd of 7,6.48,102.3,4,110.5,2.4,104.4,-3.7,6.1,6.1,Finals,3,1,0.701
2009,Magic,59,23,0.72,1st of 5,6.48,92.3,0.6,109.2,0.9,101.9,-6.4,7.3,7.3,Finals,3,1,0.701
2018,Raptors,59,23,0.72,1st of 5,7.29,97.4,0.1,113.8,5.2,105.9,-2.7,7.9,7.9,2nd Rnd. Exit,1,1,0.701
2011,Heat,58,24,0.707,1st of 5,6.76,90.9,-1.2,111.7,4.4,103.5,-3.8,8.2,8.2,Finals,3,1,0.699
2003,Spurs,60,22,0.732,1st of 7,5.65,90,-1,105.6,2,99.7,-3.9,5.9,5.9,Championship,4,0,0.699
1998,SuperSonics,61,21,0.744,1st of 7,6.33,89.8,-0.5,111.6,6.6,103.6,-1.4,8,8.0,2nd Rnd. Exit,1,1,0.699
1991,Lakers,58,24,0.707,2nd of 7,6.73,94.1,-3.7,112.1,4.2,105,-2.9,7.1,7.1,Finals,3,1,0.699
2006,Mavericks,60,22,0.732,2nd of 5,5.96,87.8,-2.7,111.8,5.6,105,-1.2,6.8,6.8,Finals,3,1,0.699
2013,Spurs,58,24,0.707,1st of 5,6.67,94.2,2.2,108.3,2.4,101.6,-4.3,6.7,6.7,Finals,3,1,0.697
2008,Pistons,59,23,0.72,1st of 5,6.67,87.3,-5.1,111.4,3.9,102.9,-4.6,8.5,8.5,Conf. Finals,2,1,0.697
2014,Thunder,59,23,0.72,1st of 5,6.66,95.4,1.5,110.5,3.8,103.9,-2.8,6.6,6.6,Conf. Finals,2,1,0.697
2010,Cavaliers,61,21,0.744,1st of 5,6.17,91.4,-1.3,111.2,3.6,104.1,-3.5,7.1,7.1,2nd Rnd. Exit,1,1,0.695
1992,TrailBlazers,57,25,0.695,1st of 7,6.94,99,2.4,111.4,3.2,104.2,-4,7.2,7.2,Finals,3,1,0.695
2012,Heat,46,20,0.697,1st of 5,5.72,91.2,-0.1,106.6,2,100.2,-4.4,6.4,6.4,Championship,4,0,0.695
1999,Jazz,37,13,0.74,2nd of 7,5.54,87,-1.9,105.8,3.6,98.4,-3.8,7.4,7.4,2nd Rnd. Exit,1,1,0.693
2000,TrailBlazers,59,23,0.72,2nd of 7,6.36,89.9,-3.2,107.9,3.8,100.8,-3.3,7.1,7.1,Conf. Finals,2,1,0.691
1997,Heat,61,21,0.744,1st of 7,5.56,88.2,-1.9,106.8,0.1,100.6,-6.1,6.2,6.1,Conf. Finals,2,1,0.691
1999,TrailBlazers,35,15,0.7,1st of 7,5.67,89.2,0.3,104.8,2.6,97.7,-4.5,7.1,7.1,Conf. Finals,2,1,0.690
1993,Knicks,60,22,0.732,1st of 7,5.87,94.5,-2.3,106.1,-1.9,99.7,-8.3,6.4,6.4,Conf. Finals,2,1,0.689
2003,Kings,59,23,0.72,1st of 7,6.68,95.4,4.4,105.9,2.3,99.1,-4.5,6.8,6.8,2nd Rnd. Exit,1,1,0.689
2004,Spurs,57,25,0.695,2nd of 7,7.51,89.2,-0.9,102.2,-0.7,94.1,-8.8,8.1,8.1,2nd Rnd. Exit,1,1,0.688
2020,Raptors,53,19,0.736,1st of 5,5.97,100.9,0.6,111.1,0.5,105,-5.6,6.1,6.3,2nd Rnd. Exit,1,1,0.688
1993,Bulls,57,25,0.695,1st of 7,6.19,92.5,-4.3,112.9,4.9,106.1,-1.9,6.8,6.8,Championship,4,0,0.688
2018,Warriors,58,24,0.707,1st of 5,5.79,99.6,2.3,113.6,5,107.6,-1,6,6.0,Championship,4,0,0.687
1990,Pistons,59,23,0.72,1st of 7,5.41,94.4,-3.9,109.9,1.8,103.5,-4.6,6.4,6.4,Championship,4,0,0.687
1995,SuperSonics,57,25,0.695,2nd of 7,7.91,95.5,2.6,114.8,6.5,106.3,-2,8.5,8.5,1st Rnd. Exit,0,1,0.686
1994,Knicks,57,25,0.695,1st of 7,6.48,92.8,-2.3,105.7,-0.6,98.2,-8.1,7.5,7.5,Finals,3,1,0.686
2024,Thunder,57,25,0.695,1st of 5,7.36,99.8,1.3,119.5,4.2,112.1,-3.2,7.4,7.4,2nd Rnd. Exit,1,1,0.685
1995,Magic,57,25,0.695,1st of 7,6.44,95.1,2.2,115.1,6.8,107.8,-0.5,7.3,7.3,Finals,3,1,0.685
2019,Warriors,57,25,0.695,1st of 5,6.42,100.9,0.9,115.9,5.5,109.5,-0.9,6.4,6.4,Finals,3,1,0.684
2021,Suns,51,21,0.708,1st of 5,5.67,97.2,-2,117.2,4.9,111.3,-1,5.9,5.9,Finals,3,1,0.684
2014,Clippers,57,25,0.695,1st of 5,7.27,95.9,2,112.1,5.4,104.8,-1.9,7.3,7.3,2nd Rnd. Exit,1,1,0.683
2019,Raptors,58,24,0.707,1st of 5,5.49,100.2,0.2,113.1,2.7,107.1,-3.3,6,6.0,Championship,4,0,0.681
1998,Pacers,58,24,0.707,2nd of 8,6.25,87.9,-2.4,108.4,3.4,101.6,-3.4,6.8,6.8,Conf. Finals,2,1,0.680
2011,Spurs,61,21,0.744,1st of 5,5.86,92.3,0.2,111.8,4.5,105.6,-1.7,6.2,6.2,1st Rnd. Exit,0,1,0.680
1996,Magic,60,22,0.732,1st of 7,5.4,91.8,0,112.9,5.3,106.9,-0.7,6,6.0,Conf. Finals,2,1,0.679
2005,Heat,59,23,0.72,1st of 5,5.77,90.8,-0.1,110.2,4.1,103.1,-3,7.1,7.1,Conf. Finals,2,1,0.679
2004,Pacers,61,21,0.744,1st of 8,4.93,87.5,-2.6,103.8,0.9,97.2,-5.7,6.6,6.6,Conf. Finals,2,1,0.678
1997,SuperSonics,57,25,0.695,1st of 7,6.91,90.3,0.2,111.2,4.5,102.7,-4,8.5,8.4,2nd Rnd. Exit,1,1,0.676
2023,Celtics,57,25,0.695,1st of 5,6.38,98.5,-0.6,118,3.2,111.5,-3.3,6.5,6.5,Conf. Finals,2,1,0.675
1996,Spurs,59,23,0.72,1st of 7,5.98,93.3,1.5,110.2,2.6,103.5,-4.1,6.7,6.7,2nd Rnd. Exit,1,1,0.674
2016,Thunder,55,27,0.671,1st of 5,7.09,96.7,0.9,113.1,6.7,105.6,-0.8,7.5,7.5,Conf. Finals,2,1,0.673
2016,Cavaliers,57,25,0.695,1st of 5,5.45,93.3,-2.5,110.9,4.5,104.5,-1.9,6.4,6.4,Championship,4,0,0.672
2004,Timberwolves,58,24,0.707,1st of 7,5.86,89,-1.1,105.9,3,99.7,-3.2,6.2,6.2,Conf. Finals,2,1,0.672
2002,Spurs,58,24,0.707,1st of 7,6.28,90,-0.7,106.5,2,99.7,-4.8,6.8,6.8,2nd Rnd. Exit,1,1,0.672
2024,Timberwolves,56,26,0.683,3rd of 5,6.39,97.1,-1.4,115.6,0.3,109,-6.3,6.6,6.6,Conf. Finals,2,1,0.666
2015,Hawks,60,22,0.732,1st of 5,4.75,93.9,0,108.9,3.3,103.1,-2.5,5.8,5.8,Conf. Finals,2,1,0.666
2015,Clippers,56,26,0.683,2nd of 5,6.8,94.7,0.8,112.4,6.8,105.5,-0.1,6.9,6.9,2nd Rnd. Exit,1,1,0.665
1990,Suns,54,28,0.659,3rd of 7,7.09,100.7,2.4,113.1,5,106.2,-1.9,6.9,6.9,Conf. Finals,2,1,0.664
1993,SuperSonics,55,27,0.671,2nd of 7,6.66,96,-0.8,112.3,4.3,104.9,-3.1,7.4,7.4,Conf. Finals,2,1,0.664
2020,Clippers,49,23,0.681,2nd of 5,6.66,101.5,1.2,113.9,3.3,107.6,-3,6.3,6.5,2nd Rnd. Exit,1,1,0.663
2005,Mavericks,58,24,0.707,2nd of 5,5.86,92.7,1.8,110.3,4.2,104.1,-2,6.2,6.2,2nd Rnd. Exit,1,1,0.663
