Year,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
2023,107,Furkan Korkmaz,SG,25,PHI,3,0,11,0,2,0.000,0,1,0.000,0,1,0.000,0.000,2,2,1.000,0,1,1,1,0,0,1,0,2,korkmfu01
2023,108,Luke Kornet,C,27,BOS,8,0,32,7,8,0.875,1,1,1.000,6,7,0.857,0.938,2,2,1.000,5,5,10,0,0,1,0,2,17,kornelu01
2023,109,Jonathan Kuminga,PF,20,GSW,10,0,61,13,24,0.542,3,7,0.429,10,17,0.588,0.604,5,9,0.556,4,5,9,5,2,0,4,5,34,kuminjo01
2023,110,Anthony Lamb,SF,25,GSW,6,0,31,2,5,0.400,1,4,0.250,1,1,1.000,0.500,0,0,,1,5,6,0,1,1,2,3,5,lamban01
2023,111,Jock Landale,C,27,PHO,7,1,113,17,27,0.630,0,1,0.000,17,26,0.654,0.630,9,14,0.643,10,18,28,3,3,3,2,15,43,landajo01
2023,112,Damion Lee,SG,30,PHO,8,0,89,6,20,0.300,3,15,0.200,3,5,0.600,0.375,2,2,1.000,4,7,11,5,2,0,1,8,17,leeda03
2023,113,Alex Len,C,29,SAC,7,0,54,7,9,0.778,0,0,,7,9,0.778,0.778,5,6,0.833,7,13,20,1,0,3,7,15,19,lenal01
2023,114,Kawhi Leonard,SF,31,LAC,2,2,80,24,44,0.545,6,10,0.600,18,34,0.529,0.614,15,17,0.882,3,10,13,12,4,1,6,5,69,leonaka01
2023,115,Meyers Leonard,C,30,MIL,2,0,5,0,1,0.000,0,0,,0,1,0.000,0.000,0,0,,0,1,1,0,0,0,0,0,0,leoname01
2023,116,Caris LeVert,SG,28,CLE,5,3,170,27,63,0.429,13,36,0.361,14,27,0.519,0.532,8,13,0.615,4,19,23,13,2,1,5,10,75,leverca01
2023,117,Kenneth Lofton Jr.,PF,20,MEM,4,0,12,3,8,0.375,0,2,0.000,3,6,0.500,0.375,1,2,0.500,1,2,3,1,0,0,0,0,7,loftoke01
2023,118,Kevon Looney,C,26,GSW,13,8,325,37,64,0.578,0,0,,37,64,0.578,0.578,10,18,0.556,61,109,170,43,8,5,13,36,84,looneke01
2023,119,Brook Lopez,C,34,MIL,5,5,182,39,67,0.582,7,17,0.412,32,50,0.640,0.634,10,13,0.769,14,18,32,6,7,9,11,10,95,lopezbr01
2023,120,Robin Lopez,C,34,CLE,2,0,6,3,3,1.000,0,0,,3,3,1.000,1.000,2,2,1.000,1,0,1,0,0,0,1,2,8,lopezro01
2023,121,Kevin Love,PF,34,MIA,20,18,359,45,119,0.378,33,88,0.375,12,31,0.387,0.517,14,16,0.875,14,97,111,24,9,7,10,35,137,loveke01
2023,122,Kyle Lowry,PG,36,MIA,23,1,599,74,174,0.425,33,88,0.375,41,86,0.477,0.520,31,33,0.939,12,69,81,101,24,14,40,59,212,lowryky01
2023,123,Trey Lyles,PF,27,SAC,7,0,118,17,40,0.425,9,27,0.333,8,13,0.615,0.538,3,5,0.600,9,31,40,5,2,0,3,12,46,lylestr01
2023,124,Terance Mann,SG,26,LAC,5,0,133,19,33,0.576,9,19,0.474,10,14,0.714,0.712,6,9,0.667,7,9,16,11,4,1,9,17,53,mannte01
2023,125,Caleb Martin,SF,27,MIA,23,4,694,109,206,0.529,44,104,0.423,65,102,0.637,0.636,29,35,0.829,27,98,125,36,20,9,24,55,291,martica02
2023,126,Wesley Matthews,SF,36,MIL,2,0,41,4,9,0.444,4,7,0.571,0,2,0.000,0.667,0,0,,1,2,3,1,2,1,0,3,12,matthwe02
2023,127,Tyrese Maxey,SG,22,PHI,11,11,423,82,192,0.427,34,85,0.400,48,107,0.449,0.516,28,31,0.903,9,44,53,25,15,5,8,26,226,maxeyty01
2023,128,Miles McBride,PG,22,NYK,8,0,20,1,4,0.250,1,3,0.333,0,1,0.000,0.375,0,0,,0,2,2,1,0,1,0,1,3,mcbrimi01
2023,129,Jalen McDaniels,SF,25,PHI,8,0,102,8,20,0.400,3,9,0.333,5,11,0.455,0.475,0,0,,3,13,16,5,1,0,3,8,19,mcdanja01
2023,130,Jordan McLaughlin,PG,26,MIN,2,0,14,0,4,0.000,0,2,0.000,0,2,0.000,0.000,0,0,,0,2,2,2,0,0,0,2,0,mclaujo01
2023,131,De'Anthony Melton,SG,24,PHI,11,0,274,31,81,0.383,19,49,0.388,12,32,0.375,0.500,6,8,0.750,14,22,36,18,13,9,8,20,87,meltode01
2023,132,Chimezie Metu,PF,25,SAC,3,0,6,0,1,0.000,0,0,,0,1,0.000,0.000,2,3,0.667,1,0,1,0,0,0,1,0,2,metuch01
2023,133,Khris Middleton,SF,31,MIL,5,5,173,40,86,0.465,13,32,0.406,27,54,0.500,0.541,26,30,0.867,7,25,32,31,3,0,17,15,119,middlkh01
2023,134,Patty Mills,PG,34,BRK,1,0,5,0,2,0.000,0,2,0.000,0,0,,0.000,0,0,,0,0,0,0,0,0,0,1,0,millspa02
2023,135,Shake Milton,SG,26,PHI,6,0,21,3,5,0.600,0,1,0.000,3,4,0.750,0.600,2,2,1.000,0,3,3,2,2,0,1,3,8,miltosh01
2023,136,Josh Minott,SF,20,MIN,1,0,6,0,1,0.000,0,1,0.000,0,0,,0.000,0,0,,0,0,0,0,2,1,1,1,0,minotjo01
